Airline,Source,Destination,Class,Departure_Time,Days_Left,Price
Air India,Mumbai,Bangalore,Business,Afternoon,13,10166
AirAsia,Mumbai,Hyderabad,Economy,Evening,15,15982
Air India,Chennai,Bangalore,Economy,Afternoon,18,10929
Air India,Hyderabad,Chennai,Economy,Morning,19,8347
Air India,Mumbai,Hyderabad,Economy,Afternoon,1,10269
Air India,Delhi,Chennai,Economy,Morning,6,29186
Vistara,Chennai,Mumbai,Economy,Afternoon,27,27509
IndiGo,Bangalore,Delhi,Economy,Night,27,16527
SpiceJet,Chennai,Hyderabad,Business,Evening,23,5454
Air India,Bangalore,Mumbai,Economy,Morning,27,23878
AirAsia,Chennai,Mumbai,Economy,Afternoon,27,21330
Air India,Chennai,Hyderabad,Economy,Afternoon,2,15991
AirAsia,Chennai,Chennai,Economy,Afternoon,24,5808
Vistara,Bangalore,Mumbai,Economy,Night,14,9642
AirAsia,Bangalore,Bangalore,Economy,Night,6,6825
SpiceJet,Chennai,Mumbai,Business,Morning,14,6536
IndiGo,Mumbai,Chennai,Economy,Morning,4,25452
AirAsia,Hyderabad,Chennai,Business,Night,21,18309
AirAsia,Hyderabad,Bangalore,Business,Morning,8,6802
IndiGo,Hyderabad,Mumbai,Economy,Evening,3,24083
SpiceJet,Bangalore,Chennai,Business,Evening,19,21354
Air India,Bangalore,Hyderabad,Economy,Night,14,25190
AirAsia,Mumbai,Delhi,Business,Morning,27,9142
IndiGo,Hyderabad,Delhi,Economy,Afternoon,20,22203
Vistara,Hyderabad,Delhi,Business,Evening,17,12094
IndiGo,Chennai,Mumbai,Business,Night,25,3364
Vistara,Bangalore,Bangalore,Business,Morning,8,23642
SpiceJet,Hyderabad,Chennai,Economy,Night,24,22503
Air India,Mumbai,Hyderabad,Economy,Afternoon,14,18688
IndiGo,Mumbai,Hyderabad,Economy,Evening,26,4863
AirAsia,Hyderabad,Mumbai,Economy,Night,6,19499
SpiceJet,Bangalore,Delhi,Economy,Night,23,10084
IndiGo,Mumbai,Mumbai,Economy,Night,22,11016
AirAsia,Chennai,Bangalore,Economy,Afternoon,16,5384
IndiGo,Mumbai,Bangalore,Business,Night,25,18072
Vistara,Delhi,Chennai,Economy,Afternoon,19,6935
IndiGo,Delhi,Chennai,Business,Afternoon,14,16127
IndiGo,Bangalore,Bangalore,Economy,Afternoon,19,17482
IndiGo,Hyderabad,Bangalore,Business,Evening,3,10742
